frame,x,y,validity
0,969,422,0
1,969,422,0
2,969,422,0
3,969,422,0
4,969,422,0
5,969,422,0
6,969,422,0
7,969,422,0
8,969,422,0
9,969,422,0
10,969,422,0
11,969,422,0
12,969,422,0
13,969,422,0
14,969,422,0
15,969,422,0
16,969,422,0
17,969,422,0
18,969,422,0
19,969,422,0
20,969,422,0
21,969,422,0
22,969,422,0
23,969,422,0
24,969,422,0
25,969,422,0
26,969,422,0
27,969,422,0
28,1252,284,0
29,1252,284,0
30,1252,284,0
31,1252,284,0
32,1252,284,0
33,1252,284,0
34,1252,284,0
35,1252,284,0
36,1252,284,0
37,1252,284,0
38,1252,284,0
39,1252,284,0
40,1252,284,0
41,1252,284,0
42,1252,284,0
43,1252,284,0
44,1252,284,0
45,1252,284,0
46,1252,284,0
47,1252,284,0
48,1252,284,0
49,1252,284,0
50,1252,284,0
51,1252,284,0
52,1252,284,0
53,1252,284,0
54,1252,284,0
55,1252,284,0
56,1252,284,0
57,1252,284,0
58,1256,733,0
59,1256,733,0
60,1256,733,0
61,1256,733,0
62,1256,733,0
63,1256,733,0
64,1256,733,0
65,1256,733,0
66,1256,733,0
67,1256,733,0
68,1256,733,0
69,1256,733,0
70,1256,733,0
71,1256,733,0
72,1256,733,0
73,1256,733,0
74,1256,733,0
75,1256,733,0
76,1256,733,0
77,1256,733,0
78,1256,733,0
79,1256,733,0
80,1256,733,0
81,1256,733,0
82,1256,733,0
83,1256,733,0
84,1256,733,0
85,1256,733,0
86,1256,733,0
87,1256,733,0
88,657,190,0
89,657,190,0
90,657,190,0
91,657,190,0
92,657,190,0
93,657,190,0
94,657,190,0
95,657,190,0
96,657,190,0
97,657,190,0
98,657,190,0
99,657,190,0
100,657,190,0
101,657,190,0
102,657,190,0
103,657,190,0
104,657,190,0
105,657,190,0
106,657,190,0
107,657,190,0
108,657,190,0
109,657,190,0
110,657,190,0
111,657,190,0
112,657,190,0
113,657,190,0
114,657,190,0
115,657,190,0
116,657,190,0
117,657,190,0
118,657,190,0
119,662,528,0
120,662,528,0
121,662,528,0
122,662,528,0
123,662,528,0
124,662,528,0
125,662,528,0
126,662,528,0
127,662,528,0
128,662,528,0
129,662,528,0
130,662,528,0
131,662,528,0
132,662,528,0
133,662,528,0
134,662,528,0
135,662,528,0
136,662,528,0
137,662,528,0
138,662,528,0
139,662,528,0
140,662,528,0
141,662,528,0
142,662,528,0
143,662,528,0
144,662,528,0
145,662,528,0
146,662,528,0
147,662,528,0
148,662,528,0
149,590,276,0
150,590,276,0
151,590,276,0
152,590,276,0
153,590,276,0
154,590,276,0
155,590,276,0
156,590,276,0
157,590,276,0
158,590,276,0
159,590,276,0
160,590,276,0
161,590,276,0
162,590,276,0
163,590,276,0
164,590,276,0
165,590,276,0
166,590,276,0
167,590,276,0
168,590,276,0
169,590,276,0
170,590,276,0
171,590,276,0
172,590,276,0
173,590,276,0
174,590,276,0
175,590,276,0
176,590,276,0
177,590,276,0
178,590,276,0
179,754,519,0
180,754,519,0
181,754,519,0
182,754,519,0
183,754,519,0
184,754,519,0
185,754,519,0
186,754,519,0
187,754,519,0
188,754,519,0
189,754,519,0
190,754,519,0
191,754,519,0
192,754,519,0
193,754,519,0
194,754,519,0
195,754,519,0
196,754,519,0
197,754,519,0
198,754,519,0
199,754,519,0
200,754,519,0
201,754,519,0
202,754,519,0
203,754,519,0
204,754,519,0
205,754,519,0
206,754,519,0
207,754,519,0
208,754,519,0
209,754,519,0
210,1456,222,0
211,1456,222,0
212,1456,222,0
213,1456,222,0
214,1456,222,0
215,1456,222,0
216,1456,222,0
217,1456,222,0
218,1456,222,0
219,1456,222,0
220,1456,222,0
221,1456,222,0
222,1456,222,0
223,1456,222,0
224,1456,222,0
225,1456,222,0
226,1456,222,0
227,1456,222,0
228,1456,222,0
229,1456,222,0
230,1456,222,0
231,1456,222,0
232,1456,222,0
233,1456,222,0
234,1456,222,0
235,1456,222,0
236,1456,222,0
237,1456,222,0
238,1456,222,0
239,1456,222,0
240,1088,667,0
241,1088,667,0
242,1088,667,0
243,1088,667,0
244,1088,667,0
245,1088,667,0
246,1088,667,0
247,1088,667,0
248,1088,667,0
249,1088,667,0
250,1088,667,0
251,1088,667,0
252,1088,667,0
253,1088,667,0
254,1088,667,0
255,1088,667,0
256,1088,667,0
257,1088,667,0
258,1088,667,0
259,1088,667,0
260,1088,667,0
261,1088,667,0
262,1088,667,0
263,1088,667,0
264,1088,667,0
265,1088,667,0
266,1088,667,0
267,1088,667,0
268,1088,667,0
269,1088,667,0
270,534,707,0
271,534,707,0
272,534,707,0
273,534,707,0
274,534,707,0
275,534,707,0
276,534,707,0
277,534,707,0
278,534,707,0
279,534,707,0
280,534,707,0
281,534,707,0
282,534,707,0
283,534,707,0
284,534,707,0
285,534,707,0
286,534,707,0
287,534,707,0
288,534,707,0
289,534,707,0
290,534,707,0
291,534,707,0
292,534,707,0
293,534,707,0
294,534,707,0
295,534,707,0
296,534,707,0
297,534,707,0
298,534,707,0
299,534,707,0
300,548,158,0
301,548,158,0
302,548,158,0
303,548,158,0
304,548,158,0
305,548,158,0
306,548,158,0
307,548,158,0
308,548,158,0
309,548,158,0
310,548,158,0
311,548,158,0
312,548,158,0
313,548,158,0
314,548,158,0
315,548,158,0
316,548,158,0
317,548,158,0
318,548,158,0
319,548,158,0
320,548,158,0
321,548,158,0
322,548,158,0
323,548,158,0
324,548,158,0
325,548,158,0
326,548,158,0
327,548,158,0
328,548,158,0
329,548,158,0
330,548,158,0
331,1498,473,0
332,1498,473,0
333,1498,473,0
334,1498,473,0
335,1498,473,0
336,1498,473,0
337,1498,473,0
338,1498,473,0
339,1498,473,0
340,1498,473,0
341,1498,473,0
342,1498,473,0
343,1498,473,0
344,1498,473,0
345,1498,473,0
346,1498,473,0
347,1498,473,0
348,1498,473,0
349,1498,473,0
350,1498,473,0
351,1498,473,0
352,1498,473,0
353,1498,473,0
354,1498,473,0
355,1498,473,0
356,1498,473,0
357,1498,473,0
358,1498,473,0
359,1498,473,0
360,1498,473,0
361,1174,345,0
362,1173,345,0
363,1173,345,0
364,1173,345,0
365,1173,345,0
366,1173,345,0
367,1173,345,0
368,1173,345,0
369,1173,345,0
370,1173,345,0
371,1173,345,0
372,1173,345,0
373,1173,345,0
374,1173,345,0
375,1173,345,0
376,1173,345,0
377,1173,345,0
378,1173,345,0
379,1173,345,0
380,1173,345,0
381,1173,345,0
382,1173,345,0
383,1173,345,0
384,1173,345,0
385,1173,345,0
386,1173,345,0
387,1173,345,0
388,1173,345,0
389,1173,345,0
390,1173,345,0
391,900,690,0
392,900,690,0
393,900,690,0
394,900,690,0
395,900,690,0
396,900,690,0
397,900,690,0
398,900,690,0
399,900,690,0
400,900,690,0
401,900,690,0
